Symbol,Sector,,,,,
CENTURYPLY,Wood Products,,,,,
INTELLECT,Software Services,,,,,
CIEINDIA,Auto Parts,,,,,
FINEORG,Specialty Chemicals,,,,,
MAHSCOOTER,Two Wheelers,,,,,
BLUEDART,Logistics,,,,,
AARTIIND,Specialty Chemicals,,,,,
RBLBANK,Private Banks,,,,,
DATAPATTNS,Aerospace & Defense Equipments,,,,,
GABRIEL,Auto Parts,,,,,
RELINFRA,Power Infrastructure,,,,,
BATAINDIA,Footwear,,,,,
CUB,Private Banks,,,,,
TRIDENT,Textiles,,,,,
CEATLTD,Tires & Rubber,,,,,
AAVAS,Home Financing,,,,,
EMBDL,Real Estate,,,,,
JWL,Rail,,,,,
BLS,Outsourced services,,,,,
PCBL,Commodity Chemicals,,,,,
RAINBOW,Hospitals & Diagnostic Centres,,,,,
SARDAEN,Iron & Steel,,,,,
AFCONS,Construction & Engineering,,,,,
UTISENSETF,Equity,,,,,
RRKABEL,Cables,,,,,
CLEAN,Specialty Chemicals,,,,,
CAPLIPOINT,Pharmaceuticals,,,,,
TARIL,Heavy Electrical Equipments,,,,,
SPLPETRO,Specialty Chemicals,,,,,
KSB,Industrial Machinery,,,,,
JBMA,Auto Parts,,,,,
NEWGEN,Software Services,,,,,
GODREJAGRO,Agro Products,,,,,
ITDCEM,Construction & Engineering,,,,,
MGL,Gas Distribution,,,,,
THELEELA,"Hotels, Resorts & Cruise Lines",,,,,
FINCABLES,Cables,,,,,
TBOTEK,Tour & Travel Services,,,,,
HOMEFIRST,Home Financing,,,,,
JINDALSAW,Building Products - Pipes,,,,,
CYIENT,Software Services,,,,,
VTL,Textiles,,,,,
CRAFTSMAN,Industrial Machinery,,,,,
CHOICEIN,Investment Banking & Brokerage,,,,,
GESHIP,Oil & Gas - Storage & Transportation,,,,,
DOMS,Stationery,,,,,
NCC,Construction & Engineering,,,,,
SWANENERGY,Textiles,,,,,
ELECON,Heavy Electrical Equipments,,,,,
ACE,Heavy Machinery,,,,,
ENGINERSIN,Construction & Engineering,,,,,
PARADEEP,Fertilizers & Agro Chemicals,,,,,
GALLANTT,Iron & Steel,,,,,
CELLO,FMCG - Household Products,,,,,
ZEEL,TV Channels & Broadcasters,,,,,
SANOFI,Pharmaceuticals,,,,,
ABDL,Alcoholic Beverages,,,,,
Ltd,BBTC,,,,,
INDGN,Business Support Services,,,,,
AGARWALEYE,Hospitals & Diagnostic Centres,,,,,
RITES,Business Support Services,,,,,
DBREALTY,Real Estate,,,,,
KIRLOSENG,Industrial Machinery,,,,,
INGERRAND,Industrial Machinery,,,,,
WELSPUNLIV,Textiles,,,,,
ALIVUS,Pharmaceuticals,,,,,
RAILTEL,Communication & Networking,,,,,
JYOTHYLAB,FMCG - Household Products,,,,,
CUBEINVIT,Roads,,,,,
NUVOCO,Cement,,,,,
ATHERENERG,Two Wheelers,,,,,
ZYDUSWELL,FMCG - Foods,,,,,
SBFC,Specialized Finance,,,,,
JUBLINGREA,Specialty Chemicals,,,,,
FINPIPE,Building Products - Pipes,,,,,
TITAGARH,Rail,,,,,
ANURAS,Specialty Chemicals,,,,,
TTML,Telecom Services,,,,,
GRAVITA,Metals - Lead,,,,,
NAZARA,Theme Parks & Gaming,,,,,
BALRAMCHIN,Sugar,,,,,
J&KBANK,Private Banks,,,,,
GRINFRA,Construction & Engineering,,,,,
WESTLIFE,Restaurants & Cafes,,,,,
TEJASNET,Telecom Equipments,,,,,
GPIL,Iron & Steel,,,,,
RELAXO,Footwear,,,,,
MINDACORP,Auto Parts,,,,,
SYRMA,Electronic Equipments,,,,,
LEMONTREE,"Hotels, Resorts & Cruise Lines",,,,,
SONATSOFTW,IT Services & Consulting,,,,,
GMDCLTD,Mining - Diversified,,,,,
USHAMART,Iron & Steel,,,,,
HFCL,Telecom Equipments,,,,,
SANOFICONR,Pharmaceuticals,,,,,
MARKSANS,Pharmaceuticals,,,,,
TEGA,Industrial Machinery,,,,,
GRANULES,Pharmaceuticals,,,,,
RKFORGE,Rail,,,,,
CCL,Tea & Coffee,,,,,
BSOFT,IT Services & Consulting,,,,,
PGINVIT,Power Transmission & Distribution,,,,,
ALKYLAMINE,Specialty Chemicals,,,,,
NSLNISP,Iron & Steel,,,,,
GRAPHITE,Electrical Components & Equipments,,,,,
JKLAKSHMI,Cement,,,,,
GENUSPOWER,Electronic Equipments,,,,,
EUREKAFORB,FMCG - Household Products,,,,,
LLOYDSENT,Iron & Steel,,,,,
SHAKTIPUMP,Industrial Machinery,,,,,
NETWEB,IT Services & Consulting,,,,,
PCJEWELLER,"Precious Metals, Jewellery & Watches",,,,,
PRUDENT,Asset Management,,,,,
INOXINDIA,Industrial Machinery,,,,,
JAIBALAJI,Iron & Steel,,,,,
LLOYDSENGG,Industrial Machinery,,,,,
ELANTAS,Electrical Components & Equipments,,,,,
CHENNPETRO,Oil & Gas - Refining & Marketing,,,,,
ICICIB22,Equity,,,,,
ASKAUTOLTD,Auto Parts,,,,,
INDIACEM,Cement,,,,,
SAFARI,Apparel & Accessories,,,,,
SUNDARMHLD,Diversified Financials,,,,,
SAPPHIRE,Restaurants & Cafes,,,,,
